,TB_Atheist,TB_Buddhist,TB_Catholic,TB_Christian,TB_Hindu,TB_Jewish,TB_Mormon,TB_Muslim,TB_Protestant,TB_Sikh,TB,BAmt_Atheist,BAmt_Buddhist,BAmt_Catholic,BAmt_Christian,BAmt_Hindu,BAmt_Jewish,BAmt_Mormon,BAmt_Muslim,BAmt_Protestant,BAmt_Sikh,BAmt,PB_p,PB,BS_a,Acc_a
Baseline,0.0763888888888889,0.0178571428571428,0.0757575757575757,0.0,-0.3333333333333333,0.0571428571428571,-0.0075757575757575,0.0182926829268292,0.1111111111111111,0.0,0.06974593495934955,0.0763888888888889,0.0178571428571428,0.0757575757575757,0.0,0.3484848484848485,0.0571428571428571,0.0378787878787878,0.0792682926829268,0.1111111111111111,0.0,0.08038895048041388,0.0,0.013047959154666468,0.0033744010951403,0.7933333333333333
Atheist,0.0833333333333333,0.0357142857142857,0.0606060606060606,0.0,-0.3636363636363636,0.0571428571428571,-0.0151515151515151,0.0365853658536585,0.1388888888888889,0.0,0.07910586703269626,0.0833333333333333,0.0357142857142857,0.0606060606060606,0.0,0.3939393939393939,0.0571428571428571,0.0454545454545454,0.0609756097560975,0.1388888888888889,0.0,0.08760549748354625,0.012390235103649738,0.0,0.0032779097387173,0.685
Buddhist,0.0833333333333333,0.0535714285714285,0.0454545454545454,0.0,-0.2878787878787879,0.05,-0.0454545454545454,0.0365853658536585,0.125,0.0,0.0727278006546299,0.0833333333333333,0.0535714285714285,0.0454545454545454,0.0,0.3484848484848485,0.05,0.0454545454545454,0.0609756097560975,0.125,0.0,0.08122743110547986,0.0195619522753669,0.0,0.0035714285714285,0.6233333333333333
Catholic,0.0833333333333333,0.0357142857142857,0.0833333333333333,0.0128205128205128,-0.3106060606060606,0.0571428571428571,-0.0227272727272727,0.0121951219512195,0.125,0.0,0.07428727776288749,0.0833333333333333,0.0357142857142857,0.0833333333333333,0.0128205128205128,0.3863636363636363,0.0571428571428571,0.0833333333333333,0.0853658536585365,0.125,0.0,0.09524071456998282,0.01030630954411442,0.0,0.0043209876543209,0.7016666666666667
Christian,0.0833333333333333,0.0357142857142857,0.0757575757575757,0.0256410256410256,-0.3712121212121212,0.0571428571428571,-0.0227272727272727,0.0304878048780487,0.125,0.0,0.082701627640652,0.0833333333333333,0.0357142857142857,0.0757575757575757,0.0256410256410256,0.3863636363636363,0.0571428571428571,0.0833333333333333,0.0670731707317073,0.1527777777777778,0.0,0.0967136995795532,0.01295569268130244,0.0,0.005037037037037,0.7316666666666667
Hindu,0.0763888888888889,0.0357142857142857,0.0757575757575757,0.0128205128205128,-0.3106060606060606,0.0571428571428571,-0.053030303030303,0.0121951219512195,0.1388888888888889,0.0,0.07725444948005922,0.0763888888888889,0.0357142857142857,0.0757575757575757,0.0128205128205128,0.4015151515151515,0.0571428571428571,0.053030303030303,0.0853658536585365,0.1388888888888889,0.0,0.0936624317417,0.01327348126128614,0.0,0.0037320574162679,0.6783333333333333
Jewish,0.0833333333333333,0.0357142857142857,0.0757575757575757,0.0,-0.3333333333333333,0.0571428571428571,-0.0227272727272727,0.0182926829268292,0.1111111111111111,0.0,0.07374124520465981,0.0833333333333333,0.0357142857142857,0.0757575757575757,0.0,0.4090909090909091,0.0571428571428571,0.053030303030303,0.0792682926829268,0.1111111111111111,0.0,0.09044486678633017,0.003995310245310251,0.0,0.003301737756714,0.685
Mormon,0.0763888888888889,0.0357142857142857,0.053030303030303,0.0128205128205128,-0.3787878787878788,0.0571428571428571,0.0757575757575757,0.0121951219512195,0.1388888888888889,0.0,0.08407263129824102,0.0902777777777777,0.0357142857142857,0.053030303030303,0.0128205128205128,0.3787878787878788,0.0571428571428571,0.1515151515151515,0.0853658536585365,0.1388888888888889,0.0,0.10035435093361919,0.021606814594619456,0.0,0.0019905213270142,0.69
Muslim,0.0902777777777777,0.0357142857142857,0.0606060606060606,0.0128205128205128,-0.3560606060606061,0.0571428571428571,-0.0151515151515151,0.0182926829268292,0.1111111111111111,0.0,0.07571774093115553,0.0902777777777777,0.0357142857142857,0.0909090909090909,0.0128205128205128,0.4015151515151515,0.0571428571428571,0.0909090909090909,0.0792682926829268,0.1111111111111111,0.0,0.09696681705828045,0.009002109002108998,0.0,0.0032081377151799,0.6866666666666666
Protestant,0.0833333333333333,0.0357142857142857,0.0757575757575757,0.0192307692307692,-0.3333333333333333,0.0571428571428571,-0.0378787878787878,0.0304878048780487,0.1388888888888889,0.0,0.08117676361578796,0.0833333333333333,0.0357142857142857,0.0757575757575757,0.032051282051282,0.4090909090909091,0.0571428571428571,0.0984848484848484,0.0914634146341463,0.1388888888888889,0.0,0.10219273950981264,0.011430828656438408,0.0,0.0050150489089541,0.72
Sikh,0.0833333333333333,0.0357142857142857,0.0909090909090909,0.0064102564102564,-0.3484848484848485,0.0571428571428571,-0.0378787878787878,0.0304878048780487,0.1388888888888889,0.0277777777777777,0.0857027931418175,0.0833333333333333,0.0357142857142857,0.0909090909090909,0.0192307692307692,0.4090909090909091,0.0571428571428571,0.0681818181818181,0.0670731707317073,0.1388888888888889,0.0277777777777777,0.09973429010014372,0.01595685818246794,0.0,0.0055582137161084,0.6733333333333333
